,Timestamp,Frequency [Hz],Absolute Impedance,Phase Angle,Real Impedance,Imaginary Impedance,Total Harmonic Distortion,Number of Cycles,Working electrode DC Voltage [V],DC Current [A],Current Amplitude,Voltage Amplitude,,,Real,Imaginary
0,6083.84169,629.4620361,67.16857068,179.3450226,-67.16418195,0.767821644,9.866398892,19,1.554008961,0.001037272,0.000157718,0.010593717,,,67.16418195,-0.767821644
0,6084.013788,499.9994507,68.64765684,178.3556292,-68.61938721,1.969895634,8.972876128,15,1.554004908,0.001043439,0.000153888,0.010564047,,,68.61938721,-1.969895634
0,6084.182691,397.1639709,68.28210211,-178.6895004,-68.2642419,-1.561648487,9.810729725,12,1.554293275,0.001037855,0.000155025,0.010585411,,,68.2642419,1.561648487
0,6084.351349,315.478241,67.17693367,178.9192032,-67.16498223,1.26711449,7.998015609,9,1.554085732,0.001041661,0.000156078,0.010484867,,,67.16498223,-1.26711449
0,6084.52498,250.5934448,68.76110407,-176.9742826,-68.66524718,-3.629499094,7.129341251,8,1.554348588,0.001037248,0.000156048,0.010730027,,,68.66524718,3.629499094
0,6084.723107,199.0534668,66.30962825,-179.2519294,-66.30397654,-0.865733493,6.220281288,8,1.55406177,0.001038862,0.000159102,0.010549979,,,66.30397654,0.865733493
0,6084.953547,158.1138306,67.78591944,-179.9064385,-67.78582907,-0.110691443,8.52734379,8,1.55437839,0.001034831,0.00016075,0.010896572,,,67.78582907,0.110691443
0,6085.222552,125.5943069,74.66149083,-178.9576429,-74.64913584,-1.358208928,7.931911479,8,1.553843379,0.001036358,0.000153505,0.011460922,,,74.64913584,1.358208928
0,6085.541541,99.76284027,68.85813066,-179.5371248,-68.85588365,-0.556277926,5.088555627,8,1.554474354,0.001030593,0.00015775,0.010862351,,,68.85588365,0.556277926
0,6085.926212,79.24463654,68.06866023,-178.4710867,-68.04442697,-1.8161675,7.818511919,8,1.554535389,0.001029196,0.000155951,0.010615352,,,68.04442697,1.8161675
0,6086.394485,62.94612885,68.23237391,-177.0172855,-68.13993804,-3.550449643,9.405337015,8,1.554391742,0.001027925,0.000154154,0.010518268,,,68.13993804,3.550449643
0,6086.96798,50.00001526,64.76675361,-178.824215,-64.75311665,-1.329005964,6.593387518,8,1.554399967,0.001021642,0.000168972,0.010943749,,,64.75311665,1.329005964
0,6087.673582,39.716362,64.26763675,-179.3139994,-64.26303036,-0.769456027,14.51793303,8,1.554832458,0.001024128,0.00016517,0.010615095,,,64.26303036,0.769456027
0,6087.990966,31.54782486,56.15061835,-178.5347924,-56.13225915,-1.435766213,16.58380333,2,1.554963887,0.001167349,0.000181911,0.010208694,,,56.13225915,1.435766213
0,6088.302411,25.0593071,54.45147802,-178.570129,-54.43452272,-1.358747706,16.67130662,2,1.554906607,0.001172371,0.000188968,0.010285052,,,54.43452272,1.358747706
0,6088.690069,19.90533829,54.8427155,-177.8672365,-54.80472466,-2.040979885,17.21358346,2,1.55558002,0.001167838,0.000190401,0.010434064,,,54.80472466,2.040979885
0,6089.171863,15.81138325,54.836742,-179.318529,-54.8328633,-0.652208051,14.5416985,2,1.556624651,0.001160972,0.00018996,0.010422352,,,54.8328633,0.652208051
0,6089.774149,12.55939388,54.13537727,-178.1450183,-54.10700806,-1.752355768,15.80448171,2,1.556567729,0.001166195,0.000191269,0.010355575,,,54.10700806,1.752355768
0,6090.52829,9.97629261,54.729318,-177.2216352,-54.66498435,-2.65287301,14.78513834,2,1.558480918,0.001155397,0.000190493,0.0104228,,,54.66498435,2.65287301
0,6091.473714,7.924449921,54.01328342,-176.4084823,-53.90720205,-3.383541519,5.735738848,2,1.558935225,0.001154441,0.000196678,0.010619486,,,53.90720205,3.383541519
0,6092.659226,6.294612885,53.76277415,-175.4589486,-53.59400545,-4.256578895,4.751701586,2,1.559364498,0.001151512,0.000195039,0.01048358,,,53.59400545,4.256578895
0,6094.146241,4.999992371,53.92687377,-174.5902767,-53.68668238,-5.08407801,4.410229114,2,1.558564484,0.001149475,0.000194773,0.0105037,,,53.68668238,5.08407801
0,6096.014815,3.971638203,53.54988488,-174.8233106,-53.33146507,-4.831666881,3.845352048,2,1.558582664,0.001147601,0.000195928,0.010485002,,,53.33146507,4.831666881
0,6098.359767,3.154787064,53.03612043,-172.8908777,-52.62839179,-6.56372207,4.103517883,2,1.558756471,0.001142511,0.000196223,0.010407392,,,52.62839179,6.56372207
0,6101.301116,2.505930662,52.94012598,-171.5347532,-52.36336112,-7.793288842,4.339641418,2,1.558953047,0.001140144,0.00019522,0.010335956,,,52.36336112,7.793288842
0,6104.995554,1.990531445,52.29736803,-170.0849112,-51.5162553,-9.005006546,5.382500514,2,1.559934735,0.001133697,0.00019336,0.01012817,,,51.5162553,9.005006546
0,6109.636618,1.581133842,51.59779683,-167.5173361,-50.37809977,-11.15256475,6.488497316,2,1.55922848,0.001130047,0.000197961,0.010216644,,,50.37809977,11.15256475
0,6115.468377,1.255941153,51.18400541,-163.6036213,-49.10244493,-14.44826326,5.823801572,2,1.55898881,0.001127066,0.000204348,0.010453308,,,49.10244493,14.44826326
0,6120.961178,1.000000834,50.70391785,-159.6842156,-47.54979555,-17.60409692,4.864319841,2,1.557979584,0.001122637,0.000210464,0.010673624,,,47.54979555,17.60409692
0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
